country,year,value
Andorra,1879,3950
UAE,1879,42.8k
Argentina,1879,2.38M
Armenia,1879,710k
Antigua and Barbuda,1879,34.8k
Australia,1879,2.14M
Austria,1879,4.9M
Azerbaijan,1879,1.56M
Burundi,1879,1.63M
Belgium,1879,5.49M
Benin,1879,1.01M
Burkina Faso,1879,2.05M
Bangladesh,1879,25M
Bulgaria,1879,2.94M
Bahrain,1879,68k
Bahamas,1879,46.3k
Bosnia and Herzegovina,1879,1.34M
Belarus,1879,3.91M
Belize,1879,27.2k
Bolivia,1879,1.2M
Brazil,1879,11.6M
Barbados,1879,171k
Brunei,1879,8580
Bhutan,1879,291k
Botswana,1879,134k
Central African Republic,1879,1.02M
Canada,1879,4.27M
Switzerland,1879,2.82M
Chile,1879,2.31M
China,1879,365M
Cote d'Ivoire,1879,1.3M
Cameroon,1879,3.18M
"Congo, Dem. Rep.",1879,9.45M
"Congo, Rep.",1879,587k
Colombia,1879,2.8M
Comoros,1879,73.5k
Cape Verde,1879,114k
Costa Rica,1879,182k
Cuba,1879,1.52M
Cyprus,1879,186k
Czech Republic,1879,8.15M
Germany,1879,43.4M
Djibouti,1879,40.7k
Dominica,1879,27.5k
Denmark,1879,2.06M
Dominican Republic,1879,305k
Algeria,1879,3.81M
Ecuador,1879,1.14M
Egypt,1879,7.51M
Eritrea,1879,619k
Spain,1879,16.8M
Estonia,1879,679k
Ethiopia,1879,18M
Finland,1879,2.01M
Fiji,1879,131k
France,1879,38.7M
"Micronesia, Fed. Sts.",1879,22.1k
Gabon,1879,359k
UK,1879,34.3M
Georgia,1879,1.83M
Ghana,1879,2.31M
Guinea,1879,1.3M
Gambia,1879,139k
Guinea-Bissau,1879,249k
Equatorial Guinea,1879,131k
Greece,1879,4.02M
Grenada,1879,41.7k
Guatemala,1879,1.23M
Guyana,1879,242k
"Hong Kong, China",1879,159k
Honduras,1879,330k
Holy See,1879,905
Croatia,1879,2.07M
Haiti,1879,1.29M
Hungary,1879,6.21M
Indonesia,1879,29.7M
India,1879,251M
Ireland,1879,5.19M
Iran,1879,8.66M
Iraq,1879,1.71M
Iceland,1879,71.6k
Israel,1879,281k
Italy,1879,29.2M
Jamaica,1879,575k
Jordan,1879,251k
Japan,1879,37.1M
Kazakhstan,1879,3.49M
Kenya,1879,3.92M
Kyrgyz Republic,1879,909k
Cambodia,1879,2.47M
Kiribati,1879,25k
St. Kitts and Nevis,1879,44.8k
South Korea,1879,9.6M
Kuwait,1879,86.6k
Lao,1879,894k
Lebanon,1879,480k
Liberia,1879,411k
Libya,1879,374k
St. Lucia,1879,41.1k
Liechtenstein,1879,8870
Sri Lanka,1879,3.04M
Lesotho,1879,217k
Lithuania,1879,1.81M
Luxembourg,1879,208k
Latvia,1879,1.53M
Morocco,1879,3.8M
Monaco,1879,16.2k
Moldova,1879,1.26M
Madagascar,1879,2.81M
Maldives,1879,58.1k
Mexico,1879,10.1M
Marshall Islands,1879,23.6k
North Macedonia,1879,662k
Mali,1879,1.91M
Malta,1879,186k
Myanmar,1879,3.7M
Montenegro,1879,319k
Mongolia,1879,675k
Mozambique,1879,4.49M
Mauritania,1879,319k
Mauritius,1879,369k
Malawi,1879,2.12M
Malaysia,1879,1.06M
Namibia,1879,161k
Niger,1879,1.16M
Nigeria,1879,16M
Nicaragua,1879,408k
Netherlands,1879,4M
Norway,1879,1.9M
Nepal,1879,4.82M
Nauru,1879,1920
New Zealand,1879,488k
Oman,1879,364k
Pakistan,1879,16.2M
Panama,1879,195k
Peru,1879,2.92M
Philippines,1879,5.59M
Palau,1879,5190
Papua New Guinea,1879,809k
Poland,1879,19.1M
North Korea,1879,4.95M
Portugal,1879,4.58M
Paraguay,1879,284k
Palestine,1879,223k
Qatar,1879,14.5k
Romania,1879,9.7M
Russia,1879,53.8M
Rwanda,1879,1.55M
Saudi Arabia,1879,1.81M
Sudan,1879,4.97M
Senegal,1879,1.18M
Singapore,1879,110k
Solomon Islands,1879,108k
Sierra Leone,1879,937k
El Salvador,1879,629k
San Marino,1879,8630
Somalia,1879,1.47M
Serbia,1879,1.83M
South Sudan,1879,1.56M
Sao Tome and Principe,1879,34.7k
Suriname,1879,87.1k
Slovak Republic,1879,2.66M
Slovenia,1879,783k
Sweden,1879,4.53M
Eswatini,1879,88.2k
Seychelles,1879,16.4k
Syria,1879,1.65M
Chad,1879,1.89M
Togo,1879,633k
Thailand,1879,6.2M
Tajikistan,1879,795k
Turkmenistan,1879,641k
Timor-Leste,1879,288k
Tonga,1879,20k
Trinidad and Tobago,1879,167k
Tunisia,1879,1.51M
Turkey,1879,12.4M
Tuvalu,1879,3340
Taiwan,1879,2.38M
Tanzania,1879,5.29M
Uganda,1879,3.51M
Ukraine,1879,19.3M
Uruguay,1879,455k
USA,1879,49.6M
Uzbekistan,1879,3.26M
St. Vincent and the Grenadines,1879,39k
Venezuela,1879,1.99M
Vietnam,1879,10.8M
Vanuatu,1879,49k
Samoa,1879,39.4k
Yemen,1879,2.84M
South Africa,1879,4.11M
Zambia,1879,1.61M
Zimbabwe,1879,894k
Afghanistan,1880,4.36M
Angola,1880,3.06M
Albania,1880,664k
Andorra,1880,3970
UAE,1880,43.1k
Argentina,1880,2.46M
Armenia,1880,717k
Antigua and Barbuda,1880,34.9k
Australia,1880,2.2M
Austria,1880,4.94M
Azerbaijan,1880,1.57M
Burundi,1880,1.64M
Belgium,1880,5.54M
Benin,1880,1.02M
Burkina Faso,1880,2.06M
Bangladesh,1880,25.1M
Bulgaria,1880,2.99M
Bahrain,1880,68.4k
Bahamas,1880,46.9k
Bosnia and Herzegovina,1880,1.36M
Belarus,1880,3.94M
Belize,1880,27.5k
Bolivia,1880,1.19M
Brazil,1880,11.8M
Barbados,1880,172k
Brunei,1880,8860
Bhutan,1880,290k
Botswana,1880,135k
Central African Republic,1880,1.03M
Canada,1880,4.33M
Switzerland,1880,2.83M
Chile,1880,2.35M
China,1880,366M
Cote d'Ivoire,1880,1.31M
Cameroon,1880,3.19M
"Congo, Dem. Rep.",1880,9.51M
"Congo, Rep.",1880,591k
Colombia,1880,2.85M
Comoros,1880,74k
Cape Verde,1880,116k
Costa Rica,1880,188k
Cuba,1880,1.53M
Cyprus,1880,187k
Czech Republic,1880,8.2M
Germany,1880,43.8M
Djibouti,1880,40.7k
Dominica,1880,27.5k
Denmark,1880,2.08M
Dominican Republic,1880,313k
Algeria,1880,3.85M
Ecuador,1880,1.15M
Egypt,1880,7.59M
Eritrea,1880,616k
Spain,1880,16.9M
Estonia,1880,687k
Ethiopia,1880,18M
Finland,1880,2.04M
Fiji,1880,130k
France,1880,38.7M
"Micronesia, Fed. Sts.",1880,22.2k
Gabon,1880,362k
UK,1880,34.6M
Georgia,1880,1.85M
Ghana,1880,2.33M
Guinea,1880,1.31M
Gambia,1880,141k
Guinea-Bissau,1880,251k
Equatorial Guinea,1880,132k
Greece,1880,4.06M
Grenada,1880,42.3k
Guatemala,1880,1.25M
Guyana,1880,246k
"Hong Kong, China",1880,164k
Honduras,1880,329k
Holy See,1880,905
Croatia,1880,2.09M
Haiti,1880,1.3M
Hungary,1880,6.25M
Indonesia,1880,30M
India,1880,252M
Ireland,1880,5.15M
Iran,1880,8.69M
Iraq,1880,1.72M
Iceland,1880,71.7k
Israel,1880,283k
Italy,1880,29.4M
Jamaica,1880,583k
Jordan,1880,251k
Japan,1880,37.4M
Kazakhstan,1880,3.52M
Kenya,1880,3.95M
Kyrgyz Republic,1880,917k
Cambodia,1880,2.49M
Kiribati,1880,25.2k
St. Kitts and Nevis,1880,45.3k
South Korea,1880,9.6M
Kuwait,1880,87.2k
Lao,1880,913k
Lebanon,1880,480k
Liberia,1880,414k
Libya,1880,379k
St. Lucia,1880,41.8k
Liechtenstein,1880,8930
Sri Lanka,1880,3.07M
Lesotho,1880,218k
Lithuania,1880,1.84M
Luxembourg,1880,209k
Latvia,1880,1.56M
Morocco,1880,3.83M
Monaco,1880,16.5k
Moldova,1880,1.27M
Madagascar,1880,2.82M
Maldives,1880,58.3k
Mexico,1880,10.3M
Marshall Islands,1880,24.2k
North Macedonia,1880,668k
Mali,1880,1.93M
Malta,1880,187k
Myanmar,1880,3.77M
Montenegro,1880,324k
Mongolia,1880,676k
Mozambique,1880,4.48M
Mauritania,1880,321k
Mauritius,1880,372k
Malawi,1880,2.12M
Malaysia,1880,1.1M
Namibia,1880,163k
Niger,1880,1.17M
Nigeria,1880,16.1M
Nicaragua,1880,414k
Netherlands,1880,4.04M
Norway,1880,1.91M
Nepal,1880,4.84M
Nauru,1880,1920
New Zealand,1880,510k
Oman,1880,365k
Pakistan,1880,16.3M
Panama,1880,198k
Peru,1880,2.95M
Philippines,1880,5.66M
Palau,1880,5210
Papua New Guinea,1880,810k
Poland,1880,19.4M
North Korea,1880,4.97M
Portugal,1880,4.61M
Paraguay,1880,288k
Palestine,1880,226k
Qatar,1880,14.5k
Romania,1880,9.76M
Russia,1880,54.3M
Rwanda,1880,1.56M
Saudi Arabia,1880,1.79M
Sudan,1880,4.98M
Senegal,1880,1.19M
Singapore,1880,114k
Solomon Islands,1880,109k
Sierra Leone,1880,944k
El Salvador,1880,642k
San Marino,1880,8700
Somalia,1880,1.47M
Serbia,1880,1.83M
South Sudan,1880,1.57M
Sao Tome and Principe,1880,35k
Suriname,1880,87.1k
Slovak Republic,1880,2.67M
Slovenia,1880,790k
Sweden,1880,4.56M
Eswatini,1880,89.1k
Seychelles,1880,16.5k
Syria,1880,1.65M
Chad,1880,1.89M
Togo,1880,639k
Thailand,1880,6.25M
Tajikistan,1880,802k
Turkmenistan,1880,647k
Timor-Leste,1880,291k
Tonga,1880,20.1k
Trinidad and Tobago,1880,172k
Tunisia,1880,1.52M
Turkey,1880,12.5M
Tuvalu,1880,3360
Taiwan,1880,2.39M
Tanzania,1880,5.29M
Uganda,1880,3.53M
Ukraine,1880,19.5M
Uruguay,1880,470k
USA,1880,50.7M
Uzbekistan,1880,3.29M
St. Vincent and the Grenadines,1880,39.2k
Venezuela,1880,2.02M
Vietnam,1880,10.8M
Vanuatu,1880,49.5k
Samoa,1880,39.2k
Yemen,1880,2.84M
South Africa,1880,4.15M
Zambia,1880,1.61M
Zimbabwe,1880,903k
Afghanistan,1881,4.38M
Angola,1881,3.08M
Albania,1881,670k
Andorra,1881,4000
UAE,1881,43.4k
Argentina,1881,2.53M
Armenia,1881,724k
Antigua and Barbuda,1881,35k
Australia,1881,2.27M
Austria,1881,4.99M
Azerbaijan,1881,1.59M
Burundi,1881,1.65M
Belgium,1881,5.59M
Benin,1881,1.03M
Burkina Faso,1881,2.07M
Bangladesh,1881,25.2M
Bulgaria,1881,3.03M
Bahrain,1881,68.8k
Bahamas,1881,47.5k
Bosnia and Herzegovina,1881,1.38M
Belarus,1881,3.97M
Belize,1881,27.9k
Bolivia,1881,1.19M
Brazil,1881,12M
Barbados,1881,173k
Brunei,1881,9150
Bhutan,1881,288k
Botswana,1881,137k
Central African Republic,1881,1.03M
Canada,1881,4.38M
Switzerland,1881,2.85M
Chile,1881,2.39M
China,1881,367M
Cote d'Ivoire,1881,1.31M
Cameroon,1881,3.21M
"Congo, Dem. Rep.",1881,9.56M
"Congo, Rep.",1881,596k
Colombia,1881,2.9M
Comoros,1881,74.5k
Cape Verde,1881,117k
Costa Rica,1881,193k
Cuba,1881,1.55M
Cyprus,1881,188k
Czech Republic,1881,8.25M
Germany,1881,44.2M
Djibouti,1881,40.8k
Dominica,1881,27.5k
Denmark,1881,2.1M
Dominican Republic,1881,321k
Algeria,1881,3.89M
Ecuador,1881,1.16M
Egypt,1881,7.68M
Eritrea,1881,614k
Spain,1881,17M
Estonia,1881,695k
Ethiopia,1881,18M
Finland,1881,2.08M
Fiji,1881,130k
France,1881,38.8M
"Micronesia, Fed. Sts.",1881,22.3k
Gabon,1881,365k
UK,1881,34.9M
Georgia,1881,1.86M
Ghana,1881,2.34M
Guinea,1881,1.33M
Gambia,1881,142k
Guinea-Bissau,1881,253k
Equatorial Guinea,1881,133k
Greece,1881,4.11M
Grenada,1881,43.1k
Guatemala,1881,1.26M
Guyana,1881,250k
"Hong Kong, China",1881,168k
Honduras,1881,331k
Holy See,1881,905
Croatia,1881,2.11M
Haiti,1881,1.32M
Hungary,1881,6.28M
Indonesia,1881,30.3M
India,1881,254M
Ireland,1881,5.11M
Iran,1881,8.72M
Iraq,1881,1.73M
Iceland,1881,71.7k
Israel,1881,285k
Italy,1881,29.5M
Jamaica,1881,590k
Jordan,1881,251k
Japan,1881,37.7M
Kazakhstan,1881,3.56M
Kenya,1881,3.97M
Kyrgyz Republic,1881,925k
Cambodia,1881,2.5M
Kiribati,1881,25.3k
St. Kitts and Nevis,1881,45.7k
South Korea,1881,9.6M
Kuwait,1881,87.7k
Lao,1881,933k
Lebanon,1881,481k
Liberia,1881,418k
Libya,1881,384k
St. Lucia,1881,42.4k
Liechtenstein,1881,9000
Sri Lanka,1881,3.1M
Lesotho,1881,219k
Lithuania,1881,1.86M
Luxembourg,1881,210k
Latvia,1881,1.58M
Morocco,1881,3.87M
Monaco,1881,16.7k
Moldova,1881,1.29M
Madagascar,1881,2.83M
Maldives,1881,58.6k
Mexico,1881,10.4M
Marshall Islands,1881,24.8k
North Macedonia,1881,675k
Mali,1881,1.94M
Malta,1881,188k
Myanmar,1881,3.92M
Montenegro,1881,329k
Mongolia,1881,677k
Mozambique,1881,4.48M
Mauritania,1881,322k
Mauritius,1881,374k
Malawi,1881,2.12M
Malaysia,1881,1.14M
Namibia,1881,165k
Niger,1881,1.18M
Nigeria,1881,16.3M
Nicaragua,1881,420k
Netherlands,1881,4.09M
Norway,1881,1.92M
Nepal,1881,4.86M
Nauru,1881,1920
New Zealand,1881,529k
Oman,1881,366k
Pakistan,1881,16.3M
Panama,1881,201k
Peru,1881,2.99M
Philippines,1881,5.71M
Palau,1881,5240
Papua New Guinea,1881,812k
Poland,1881,19.7M
North Korea,1881,5M
Portugal,1881,4.65M
Paraguay,1881,300k
Palestine,1881,228k
Qatar,1881,14.6k
Romania,1881,9.82M
Russia,1881,54.8M
Rwanda,1881,1.56M
Saudi Arabia,1881,1.77M
Sudan,1881,4.99M
Senegal,1881,1.21M
Singapore,1881,117k
Solomon Islands,1881,111k
Sierra Leone,1881,951k
El Salvador,1881,654k
San Marino,1881,8760
Somalia,1881,1.47M
Serbia,1881,1.84M
South Sudan,1881,1.59M
Sao Tome and Principe,1881,35.2k
Suriname,1881,87.2k
Slovak Republic,1881,2.68M
Slovenia,1881,797k
Sweden,1881,4.59M
Eswatini,1881,90k
Seychelles,1881,16.6k
Syria,1881,1.66M
Chad,1881,1.9M
Togo,1881,644k
Thailand,1881,6.29M
Tajikistan,1881,809k
Turkmenistan,1881,654k
Timor-Leste,1881,293k
Tonga,1881,20.2k
Trinidad and Tobago,1881,177k
Tunisia,1881,1.54M
Turkey,1881,12.5M
Tuvalu,1881,3380
Taiwan,1881,2.39M
Tanzania,1881,5.3M
Uganda,1881,3.56M
Ukraine,1881,19.7M
Uruguay,1881,488k
USA,1881,51.9M
Uzbekistan,1881,3.32M
St. Vincent and the Grenadines,1881,39.4k
Venezuela,1881,2.06M
Vietnam,1881,10.8M
Vanuatu,1881,50k
Samoa,1881,39k
Yemen,1881,2.84M
South Africa,1881,4.19M
Zambia,1881,1.61M
Zimbabwe,1881,913k
Afghanistan,1882,4.4M
Angola,1882,3.1M
Albania,1882,676k
Andorra,1882,4030
UAE,1882,43.6k
Argentina,1882,2.62M
Armenia,1882,730k
Antigua and Barbuda,1882,35.2k
Australia,1882,2.34M
Austria,1882,5.03M
Azerbaijan,1882,1.6M
Burundi,1882,1.66M
Belgium,1882,5.64M
Benin,1882,1.04M
Burkina Faso,1882,2.08M
Bangladesh,1882,25.4M
Bulgaria,1882,3.07M
Bahrain,1882,69.2k
Bahamas,1882,48k
Bosnia and Herzegovina,1882,1.4M
Belarus,1882,4M
Belize,1882,28.2k
Bolivia,1882,1.2M
Brazil,1882,12.2M
Barbados,1882,174k
Brunei,1882,9460
Bhutan,1882,287k
Botswana,1882,138k
Central African Republic,1882,1.04M
Canada,1882,4.43M
Switzerland,1882,2.86M
Chile,1882,2.42M
China,1882,368M
Cote d'Ivoire,1882,1.32M
Cameroon,1882,3.23M
"Congo, Dem. Rep.",1882,9.61M
"Congo, Rep.",1882,601k
Colombia,1882,2.95M
Comoros,1882,75k
Cape Verde,1882,119k
Costa Rica,1882,199k
Cuba,1882,1.56M
Cyprus,1882,190k
Czech Republic,1882,8.3M
Germany,1882,44.6M
Djibouti,1882,40.8k
Dominica,1882,27.4k
Denmark,1882,2.12M
Dominican Republic,1882,329k
Algeria,1882,3.93M
Ecuador,1882,1.18M
Egypt,1882,7.78M
Eritrea,1882,611k
Spain,1882,17M
Estonia,1882,704k
Ethiopia,1882,18M
Finland,1882,2.11M
Fiji,1882,130k
France,1882,38.9M
"Micronesia, Fed. Sts.",1882,22.4k
Gabon,1882,367k
UK,1882,35.2M
Georgia,1882,1.88M
Ghana,1882,2.36M
Guinea,1882,1.34M
Gambia,1882,143k
Guinea-Bissau,1882,255k
Equatorial Guinea,1882,134k
Greece,1882,4.15M
Grenada,1882,44k
Guatemala,1882,1.28M
Guyana,1882,254k
"Hong Kong, China",1882,173k
Honduras,1882,336k
Holy See,1882,905
Croatia,1882,2.12M
Haiti,1882,1.33M
Hungary,1882,6.32M
Indonesia,1882,30.6M
India,1882,255M
Ireland,1882,5.07M
Iran,1882,8.75M
Iraq,1882,1.74M
Iceland,1882,71.6k
Israel,1882,288k
Italy,1882,29.7M
Jamaica,1882,596k
Jordan,1882,251k
Japan,1882,38M
Kazakhstan,1882,3.59M
Kenya,1882,4M
Kyrgyz Republic,1882,934k
Cambodia,1882,2.52M
Kiribati,1882,25.5k
St. Kitts and Nevis,1882,46.2k
South Korea,1882,9.59M
Kuwait,1882,88.3k
Lao,1882,953k
Lebanon,1882,482k
Liberia,1882,422k
Libya,1882,390k
St. Lucia,1882,42.9k
Liechtenstein,1882,9060
Sri Lanka,1882,3.13M
Lesotho,1882,221k
Lithuania,1882,1.89M
Luxembourg,1882,210k
Latvia,1882,1.61M
Morocco,1882,3.91M
Monaco,1882,16.9k
Moldova,1882,1.3M
Madagascar,1882,2.83M
Maldives,1882,58.9k
Mexico,1882,10.5M
Marshall Islands,1882,25.4k
North Macedonia,1882,681k
Mali,1882,1.96M
Malta,1882,189k
Myanmar,1882,4.13M
Montenegro,1882,334k
Mongolia,1882,678k
Mozambique,1882,4.48M
Mauritania,1882,324k
Mauritius,1882,376k
Malawi,1882,2.12M
Malaysia,1882,1.17M
Namibia,1882,167k
Niger,1882,1.19M
Nigeria,1882,16.4M
Nicaragua,1882,426k
Netherlands,1882,4.14M
Norway,1882,1.93M
Nepal,1882,4.88M
Nauru,1882,1920
New Zealand,1882,546k
Oman,1882,366k
Pakistan,1882,16.4M
Panama,1882,203k
Peru,1882,3.03M
Philippines,1882,5.76M
Palau,1882,5270
Papua New Guinea,1882,813k
Poland,1882,20M
North Korea,1882,5.02M
Portugal,1882,4.69M
Paraguay,1882,321k
Palestine,1882,231k
Qatar,1882,14.7k
Romania,1882,9.88M
Russia,1882,55.3M
Rwanda,1882,1.57M
Saudi Arabia,1882,1.76M
Sudan,1882,5M
Senegal,1882,1.22M
Singapore,1882,121k
Solomon Islands,1882,112k
Sierra Leone,1882,959k
El Salvador,1882,666k
San Marino,1882,8830
Somalia,1882,1.47M
Serbia,1882,1.86M
South Sudan,1882,1.6M
Sao Tome and Principe,1882,35.5k
Suriname,1882,87.2k
Slovak Republic,1882,2.69M
Slovenia,1882,804k
Sweden,1882,4.62M
Eswatini,1882,90.9k
Seychelles,1882,16.7k
Syria,1882,1.67M
Chad,1882,1.9M
Togo,1882,649k
Thailand,1882,6.34M
Tajikistan,1882,817k
Turkmenistan,1882,660k
Timor-Leste,1882,295k
Tonga,1882,20.2k
Trinidad and Tobago,1882,182k
Tunisia,1882,1.56M
Turkey,1882,12.6M
Tuvalu,1882,3390
Taiwan,1882,2.4M
Tanzania,1882,5.3M
Uganda,1882,3.58M
Ukraine,1882,19.9M
Uruguay,1882,506k
USA,1882,53.1M
Uzbekistan,1882,3.35M
St. Vincent and the Grenadines,1882,39.4k
Venezuela,1882,2.09M
Vietnam,1882,10.9M
Vanuatu,1882,50.5k
Samoa,1882,38.7k
Yemen,1882,2.85M
South Africa,1882,4.24M
Zambia,1882,1.61M
Zimbabwe,1882,922k
Afghanistan,1883,4.43M
Angola,1883,3.12M
Albania,1883,683k
Andorra,1883,4050
UAE,1883,43.9k
Argentina,1883,2.7M
Armenia,1883,737k
Antigua and Barbuda,1883,35.4k
Australia,1883,2.42M
Austria,1883,5.08M
Azerbaijan,1883,1.62M
Burundi,1883,1.67M
Belgium,1883,5.69M
Benin,1883,1.05M
Burkina Faso,1883,2.09M
Bangladesh,1883,25.5M
Bulgaria,1883,3.12M
Bahrain,1883,69.7k
Bahamas,1883,48.6k
Bosnia and Herzegovina,1883,1.42M
Belarus,1883,4.03M
Belize,1883,28.6k
Bolivia,1883,1.23M
Brazil,1883,12.5M
Barbados,1883,175k
Brunei,1883,9770
Bhutan,1883,285k
Botswana,1883,139k
Central African Republic,1883,1.04M
Canada,1883,4.48M
Switzerland,1883,2.87M
Chile,1883,2.46M
China,1883,369M
Cote d'Ivoire,1883,1.33M
Cameroon,1883,3.25M
"Congo, Dem. Rep.",1883,9.66M
"Congo, Rep.",1883,605k
Colombia,1883,3M
Comoros,1883,75.6k
Cape Verde,1883,120k
Costa Rica,1883,205k
Cuba,1883,1.57M
Cyprus,1883,192k
Czech Republic,1883,8.35M
Germany,1883,45.1M
Djibouti,1883,40.8k
Dominica,1883,27.3k
Denmark,1883,2.14M
Dominican Republic,1883,338k
Algeria,1883,3.97M
Ecuador,1883,1.19M
Egypt,1883,7.88M
Eritrea,1883,609k
Spain,1883,17.1M
Estonia,1883,712k
Ethiopia,1883,17.9M
Finland,1883,2.14M
Fiji,1883,129k
France,1883,39M
"Micronesia, Fed. Sts.",1883,22.6k
Gabon,1883,370k
UK,1883,35.5M
Georgia,1883,1.9M
Ghana,1883,2.38M
Guinea,1883,1.35M
Gambia,1883,145k
Guinea-Bissau,1883,257k
Equatorial Guinea,1883,135k
Greece,1883,4.19M
Grenada,1883,45k
Guatemala,1883,1.29M
Guyana,1883,256k
"Hong Kong, China",1883,178k
Honduras,1883,346k
Holy See,1883,905
Croatia,1883,2.14M
Haiti,1883,1.35M
Hungary,1883,6.35M
Indonesia,1883,30.9M
India,1883,257M
Ireland,1883,5.02M
Iran,1883,8.78M
Iraq,1883,1.75M
Iceland,1883,71.5k
Israel,1883,292k
Italy,1883,29.9M
Jamaica,1883,602k
Jordan,1883,251k
Japan,1883,38.4M
Kazakhstan,1883,3.62M
Kenya,1883,4.02M
Kyrgyz Republic,1883,943k
Cambodia,1883,2.54M
Kiribati,1883,25.7k
St. Kitts and Nevis,1883,46.6k
South Korea,1883,9.59M
Kuwait,1883,88.8k
Lao,1883,974k
Lebanon,1883,482k
Liberia,1883,425k
Libya,1883,395k
St. Lucia,1883,43.4k
Liechtenstein,1883,9130
Sri Lanka,1883,3.16M
Lesotho,1883,222k
Lithuania,1883,1.92M
Luxembourg,1883,210k
Latvia,1883,1.63M
Morocco,1883,3.95M
Monaco,1883,17.1k
Moldova,1883,1.31M
Madagascar,1883,2.84M
Maldives,1883,59.2k
Mexico,1883,10.6M
Marshall Islands,1883,26k
North Macedonia,1883,687k
Mali,1883,1.98M
Malta,1883,190k
Myanmar,1883,4.42M
Montenegro,1883,339k
Mongolia,1883,679k
Mozambique,1883,4.48M
Mauritania,1883,325k
Mauritius,1883,378k
Malawi,1883,2.12M
Malaysia,1883,1.21M
Namibia,1883,169k
Niger,1883,1.19M
Nigeria,1883,16.5M
Nicaragua,1883,433k
Netherlands,1883,4.19M
Norway,1883,1.94M
Nepal,1883,4.9M
Nauru,1883,1920
New Zealand,1883,559k
Oman,1883,367k
Pakistan,1883,16.5M
Panama,1883,206k
Peru,1883,3.07M
Philippines,1883,5.79M
Palau,1883,5290
Papua New Guinea,1883,815k
Poland,1883,20.3M
North Korea,1883,5.04M
Portugal,1883,4.73M
Paraguay,1883,351k
Palestine,1883,234k
Qatar,1883,14.8k
Romania,1883,9.94M
Russia,1883,55.8M
Rwanda,1883,1.57M
Saudi Arabia,1883,1.74M
Sudan,1883,5.01M
Senegal,1883,1.23M
Singapore,1883,125k
Solomon Islands,1883,113k
Sierra Leone,1883,966k
El Salvador,1883,676k
San Marino,1883,8900
Somalia,1883,1.48M
Serbia,1883,1.88M
South Sudan,1883,1.62M
Sao Tome and Principe,1883,35.7k
Suriname,1883,87.3k
Slovak Republic,1883,2.7M
Slovenia,1883,811k
Sweden,1883,4.64M
Eswatini,1883,91.8k
Seychelles,1883,16.8k
Syria,1883,1.67M
Chad,1883,1.91M
Togo,1883,655k
Thailand,1883,6.39M
Tajikistan,1883,824k
Turkmenistan,1883,667k
Timor-Leste,1883,297k
Tonga,1883,20.3k
Trinidad and Tobago,1883,186k
Tunisia,1883,1.57M
Turkey,1883,12.7M
Tuvalu,1883,3410
Taiwan,1883,2.41M
Tanzania,1883,5.31M
Uganda,1883,3.6M
Ukraine,1883,20.1M
Uruguay,1883,527k
USA,1883,54.3M
Uzbekistan,1883,3.38M
St. Vincent and the Grenadines,1883,39.4k
Venezuela,1883,2.12M
Vietnam,1883,10.9M
Vanuatu,1883,50.9k
Samoa,1883,38.5k
Yemen,1883,2.85M
South Africa,1883,4.29M
Zambia,1883,1.62M
Zimbabwe,1883,931k
Afghanistan,1884,4.45M
Angola,1884,3.14M
Albania,1884,689k
Andorra,1884,4080
UAE,1884,44.2k
Argentina,1884,2.79M
Armenia,1884,744k
Antigua and Barbuda,1884,35.5k
Australia,1884,2.51M
Austria,1884,5.12M
Azerbaijan,1884,1.64M
Burundi,1884,1.68M
Belgium,1884,5.75M
Benin,1884,1.05M
Burkina Faso,1884,2.1M
Bangladesh,1884,25.6M
Bulgaria,1884,3.16M
Bahrain,1884,70.1k
Bahamas,1884,49.1k
Bosnia and Herzegovina,1884,1.44M
Belarus,1884,4.07M
Belize,1884,29k
Bolivia,1884,1.26M
Brazil,1884,12.7M
Barbados,1884,176k
Brunei,1884,10.1k
Bhutan,1884,284k
Botswana,1884,141k
Central African Republic,1884,1.05M
Canada,1884,4.53M
Switzerland,1884,2.88M
Chile,1884,2.5M
China,1884,370M
Cote d'Ivoire,1884,1.34M
Cameroon,1884,3.27M
"Congo, Dem. Rep.",1884,9.7M
"Congo, Rep.",1884,610k
Colombia,1884,3.06M
Comoros,1884,76.1k
Cape Verde,1884,122k
Costa Rica,1884,211k
Cuba,1884,1.59M
Cyprus,1884,195k
Czech Republic,1884,8.4M
Germany,1884,45.5M
Djibouti,1884,40.9k
Dominica,1884,27.2k
Denmark,1884,2.17M
Dominican Republic,1884,347k
Algeria,1884,4.01M
Ecuador,1884,1.21M
Egypt,1884,7.99M
Eritrea,1884,606k
Spain,1884,17.2M
Estonia,1884,721k
Ethiopia,1884,17.9M
Finland,1884,2.17M
Fiji,1884,129k
France,1884,39.1M
"Micronesia, Fed. Sts.",1884,22.7k
Gabon,1884,373k
UK,1884,35.7M
Georgia,1884,1.91M
Ghana,1884,2.4M
Guinea,1884,1.36M
Gambia,1884,146k
Guinea-Bissau,1884,259k
Equatorial Guinea,1884,136k
Greece,1884,4.23M
Grenada,1884,46.1k
Guatemala,1884,1.31M
Guyana,1884,258k
"Hong Kong, China",1884,183k
Honduras,1884,355k
Holy See,1884,905
Croatia,1884,2.16M
Haiti,1884,1.36M
Hungary,1884,6.39M
Indonesia,1884,31.3M
India,1884,259M
Ireland,1884,4.97M
Iran,1884,8.81M
